0	﻿خواهشا	﻿خواهشا	﻿خواهشا	﻿خواهشا	N
0	ولی	ولی|ولی|ول|ول	ولی|ولی|ول|ول	ولی|ولی|ول+ی|ول+ی	C0|N1|A0+Y|N1+Y	حرف ربط|اسم|صفت + ی|اسم + ی
1	عدم	عدم	عدم	عدم	N1	اسم
2	وجود	وجود|وجود	وجود|وجود	وجود|وجود	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
3	مدرک	مدرک|مدرک|مدر	مدرک|مدرک|مدر	مدرک|مدرک|مدر+ک	N1|A0|A0+O	اسم|صفت|صفت + ک
4	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
5	عدم	عدم	عدم	عدم	N1	اسم
6	درک	درک|درک|در|در	درک|درک|در|در	درک|درک|در+ک|در+ک	N1|N1|N1+O|N1+O	اسم|اسم|اسم + ک|اسم + ک
7	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
8	هم	هم|هم|هم	هم|هم|هم	هم|هم|هم	Ad|C0|N	قید|حرف ربط|ضمیر مشترک/متقابل
9	ربط	ربط	ربط	ربط	N1	اسم
10	دارن	دارن	دارن	دارن	N
11	.	.	.	.	Si	

0	همینجوری	همینجوری	همینجوری	همینجوری	N
1	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
2	تو	تو|تو|تو	تو|تو|تو	تو|تو|تو	N5|Ad|N1	ضمیر فاعلی|قید|اسم
3	تراس	تراس	تراس	تراس	N1	اسم
4	نشسته_بودم	نشسته_بودم	نشسته_بودم	نشسته_بودم	N
5	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
6	اقاهه	اقاهه	اقاهه	اقاهه	N
7	اومد	اومد	اومد	اومد	N
8	شروع	شروع	شروع	شروع	N1	اسم
9	کرد	کرد|کرد	کرد|کرد	کرد|کرد	V|N1	سوم شخص مفرد|اسم
10	خوندن	خوندن	خوندن	خوندن	N
11	.	.	.	.	Si	

0	رفیقای	رفیقای	رفیقای	رفیقای	N
1	ما	ما	ما	ما	N5	ضمیر فاعلی
2	از	از	از	از	Pr	حرف اضافه
3	ترس	ترس|ترس	ترس|ترس	ترس|ترس	V|N1	فعل امر مثبت|اسم
4	شیرینی	شیرینی|شیرین|شیر	شیرینی|شیرین|شیر	شیرینی|شیرین+ی|شیر+ین+ی	N1|A0+Y|N1+O+Y	اسم|صفت + ی|اسم + ین + ی
5	دادن	داد	داد	داد+ن	V2+Neg	بن ماضی + ن
6	گوشی	گوشی|گوش	گوشی|گوش	گوشی|گوش+ی	N1|N1+Y	اسم|اسم + ی
7	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
8	ماشین	ماشین|ماش	ماشین|ماش	ماشین|ماش+ین	N1|N1+O	اسم|اسم + ین
9	نمیخرن	نمیخرن	نمیخرن	نمیخرن	N
10	.	.	.	.	Si	

0	ی	ی|ی	ی|ی	ی|ی	Al|Ab	حروف الفبا|اختصارات
1	چیزی	چیزی|چیز	چیزی|چیز	چیزی|چیز+ی	Ad|N1+Y	قید|اسم + ی
2	میخواستم	خواست|خواست|خواست	خواست|خواست|خواست	می+خواست+م|می+خواست+م|می+خواست+م	V|O+V5+N|O+V5+V	اول شخص مفرد|می + فعل کمکی + ضمیر ملکی اول شخص مفرد|می + فعل کمکی + فعل اول شخص مفرد
3	بگم	گم	گم	ب+گم	O+N1	ب + اسم
4	ولی	ولی|ولی|ول|ول	ولی|ولی|ول|ول	ولی|ولی|ول+ی|ول+ی	C0|N1|A0+Y|N1+Y	حرف ربط|اسم|صفت + ی|اسم + ی
5	یادم	یاد|یاد	یاد|یاد	یاد+م|یاد+م	N1+N|N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
6	نمیاد	نمیاد	نمیاد	نمیاد	N
7	.	.	.	.	Si	

0	واسه	واسه	واسه	واسه	Pr1	حرف اضافه گروهی
1	بافتن	بافت|باف	بافت|باف	بافت+ن|باف+ت+ن	V2+Neg|V1+N+Neg	بن ماضی + ن|بن مضارع + ضمیر ملکی دوم شخص مفرد + ن
2	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
3	چهل	چهل	چهل	چهل	No	عدد حرفی
4	سانت	سان	سان	سان+ت	N1+N	اسم + ضمیر ملکی دوم شخص مفرد
5	،	،	،	،	Si	
6	حداقل	حداقل	حداقل	حداقل	Ad	قید
7	بیست	بیست	بیست	بیست	No	عدد حرفی
8	رج	رج	رج	رج	N1	اسم
9	بافتم	بافت|بافت|بافت	بافت|بافت|بافت	بافت+م|بافت+م|بافت+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
10	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
11	شکافتم	شکافت	شکافت	شکافت+م	V	اول شخص مفرد
12	تا	تا|تا|تا	تا|تا|تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات
13	یاد	یاد	یاد	یاد	N1	اسم
14	گرفتم	گرفت|گرفت|گرفت	گرفت|گرفت|گرفت	گرفت+م|گرفت+م|گرفت+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
15	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
16	قلقش	قلق	قلق	قلق	N
17	دستم	دست|دست	دست|دست	دست+م|دست+م	N1+N|N1+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
18	اومد	اومد	اومد	اومد	N
19	.	.	.	.	Si	

0	خوبیش	خوبی|خوب	خوبی|خوب	خوبی+ش|خوب+ی+ش	N1+N|A0+Y+N	اسم + ضمیر ملکی سوم شخص مفرد|صفت + ی + ضمیر ملکی سوم شخص مفرد
1	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
2	بود	بود|بود|بود|بو	بود|بود|بود|بو	بود|بود|بود|بو+د	V|N1|V|V	سوم شخص مفرد|اسم|سوم شخص مفرد|سوم شخص مفرد
3	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
4	خونشون	خونشون	خونشون	خونشون	N
5	نزدیک	نزدیک|نزدیک	نزدیک|نزدیک	نزدیک|نزدیک	A0|N9	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
6	بود	بود|بود|بود|بو	بود|بود|بود|بو	بود|بود|بود|بو+د	V|N1|V|V	سوم شخص مفرد|اسم|سوم شخص مفرد|سوم شخص مفرد
7	،	،	،	،	Si	
8	هم	هم|هم|هم	هم|هم|هم	هم|هم|هم	Ad|C0|N	قید|حرف ربط|ضمیر مشترک/متقابل
9	مسیر	مسیر	مسیر	مسیر	N1	اسم
10	بودیم	بود|بود|بود|بود|بود	بود|بود|بود|بود|بود	بود+یم|بود+ی+م|بود+یم|بود+یم|بود+ی+م	V|V|N1+V|V|V	اول شخص جمع|دوم شخص مفرد|اسم + فعل اول شخص جمع|اول شخص جمع|دوم شخص مفرد
11	.	.	.	.	Si	

0	بدیش	بدی|دیش|دی|بد	بدی|دیش|دی|بد	بدی+ش|ب+دیش|ب+دی+ش|بد+ی+ش	N1+N|O+N1|O+N1+N|A0+Y+N	اسم + ضمیر ملکی سوم شخص مفرد|ب + اسم|ب + اسم + ضمیر ملکی سوم شخص مفرد|صفت + ی + ضمیر ملکی سوم شخص مفرد
1	اینه	اینه	اینه	اینه	N1	اسم
2	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
3	خونشون	خونشون	خونشون	خونشون	N
4	نزدیکه	نزدیک	نزدیک	نزدیک+ه	A0+O	صفت + ه
5	،	،	،	،	Si	
6	هممسیریم	مسیر	مسیر	هم+مسیر+یم	O+N1+V	هم + اسم + فعل اول شخص جمع
7	.	.	.	.	Si	

0	مزد	مزد	مزد	مزد	N1	اسم
1	آن	آن|آن	آن|آن	آن|آن	A1|N6	صفت اشاره|ضمیر اشاره
2	گرفت	گرفت|گرفت	گرفت|گرفت	گرفت|گرفت	V|N1	سوم شخص مفرد|اسم
3	جان	جان	جان	جان	N1	اسم
4	برادر	برادر	برادر	برادر	N1	اسم
5	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
6	کار	کار|کار	کار|کار	کار|کار	N1|V	اسم|فعل امر مثبت
7	کرد	کرد|کرد	کرد|کرد	کرد|کرد	V|N1	سوم شخص مفرد|اسم
8	.	.	.	.	Si	

0	باعث	باعث	باعث	باعث	N1	اسم
1	شدم	شد	شد	شد+م	V	اول شخص مفرد
2	کل	کل|کل|کل|کل|کل	کل|کل|کل|کل|کل	کل|کل|کل|کل|کل	A0|A0|N1|N1|N1	صفت|صفت|اسم|اسم|اسم
3	دانشجوها	دانشجو|دانش|دان	دانشجو|دانش|دان	دانشجو+ها|دانش+جو+ها|دان+ش+جو+ها	N1+Pl|N1+O+Pl|V1+O+O+Pl	اسم + علامت جمع|اسم + جو + علامت جمع|بن مضارع + ش + جو + علامت جمع
4	برای	برای	برای	برای	Pr	حرف اضافه
5	غذای	غذا	غذا	غذا+ی	N1+Y	اسم + ی
6	دانشگاه	دانشگاه|دانش|دان	دانشگاه|دانش|دان	دانشگاه|دانش+گاه|دان+ش+گاه	N1|N1+O|V1+O+O	اسم|اسم + گاه|بن مضارع + ش + گاه
7	اعتراض	اعتراض	اعتراض	اعتراض	N1	اسم
8	کنن	کنن	کنن	کنن	N
9	!!!	!!!	!!!	!!!	Si	

0	رفیق	رفیق	رفیق	رفیق	N1	اسم
1	اونیه	اونیه	اونیه	اونیه	N
2	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
3	وقتی	وقتی|وقت	وقتی|وقت	وقتی|وقت+ی	Ad|N1+Y	قید|اسم + ی
4	داره	دار|دار	دار|دار	دار+ه|دار+ه	V1+O|N1+O	بن مضارع + ه|اسم + ه
5	بهش	به|هش	به|هش	به+ش|ب+هش	N1+N|O+N1	اسم + ضمیر ملکی سوم شخص مفرد|ب + اسم
6	خوش	خوش	خوش	خوش	A0	صفت
7	میگذره	میگذره	میگذره	میگذره	N
8	بهت	بهت|به	بهت|به	بهت|به+ت	N1|N1+N	اسم|اسم + ضمیر ملکی دوم شخص مفرد
9	پیام	پیام	پیام	پیام	N1	اسم
10	بده	ده|بد|ده	ده|بد|ده	ب+ده|بد+ه|ب+ده	V|A0+O|O+N1	فعل امر مثبت|صفت + ه|ب + اسم
11	بیا	آی	آی	بی+آی	V	فعل امر مثبت
12	دورهم	دوره|دوره|دور|دور|دور|دور	دوره|دوره|دور|دور|دور|دور	دوره+م|دوره+م|دور+ه+م|دور+ه+م|دور+ه+م|دور+ه+م	N1+N|N1+V|A0+O+N|A0+O+V|N1+O+N|N1+O+V	اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|صفت + ه + ضمیر ملکی اول شخص مفرد|صفت + ه + فعل اول شخص مفرد|اسم + ه + ضمیر ملکی اول شخص مفرد|اسم + ه + فعل اول شخص مفرد
13	باشیم	باش|باش	باش|باش	باش+یم|باش+ی+م	V|V	اول شخص جمع|دوم شخص مفرد
14	.	.	.	.	Si	

0	عجیبه	عجیب	عجیب	عجیب+ه	A0+O	صفت + ه
1	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
2	یه	یه	یه	یه	N1	اسم
3	نفر	نفر	نفر	نفر	N1	اسم
4	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
5	شکل	شکل	شکل	شکل	N1	اسم
6	مرموز	مرموز	مرموز	مرموز	A0	صفت
7	ترسناکی	ترسناک|ترس	ترسناک|ترس	ترسناک+ی|ترس+ناک+ی	A0+Y|N1+O+Y	صفت + ی|اسم + ناک + ی
8	گم	گم	گم	گم	N1	اسم
9	شده	شد	شد	شد+ه	V3+O	فعل اسنادی + ه
10	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
11	باز	باز|باز|باز|باز|باز	باز|باز|باز|باز|باز	باز|باز|باز|باز|باز	V|A0|VPr|N1|Ad	فعل امر مثبت|صفت|پیشوند فعل|اسم|قید
12	از	از	از	از	Pr	حرف اضافه
13	توش	توش	توش	توش	N1	اسم
14	جک	جک	جک	جک	N1	اسم
15	ازدواج	ازدواج	ازدواج	ازدواج	N1	اسم
16	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
17	لر	لر	لر	لر	N1	اسم
18	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
19	عرب	عرب	عرب	عرب	N1	اسم
20	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
21	میاد	میاد	میاد	میاد	N
22	.	.	.	.	Si	

0	کلی	کلی|کل|کل|کل|کل|کل	کلی|کل|کل|کل|کل|کل	کلی|کل+ی|کل+ی|کل+ی|کل+ی|کل+ی	A0|A0+Y|A0+Y|N1+Y|N1+Y|N1+Y	صفت|صفت + ی|صفت + ی|اسم + ی|اسم + ی|اسم + ی
1	کار	کار|کار	کار|کار	کار|کار	N1|V	اسم|فعل امر مثبت
2	نکرده	نکرده|کرد	نکرده|کرد	نکرده|ن+کرد+ه	A0|O+O	صفت|ریشه ماضی + ه
3	دارم	دار|دار|دار	دار|دار|دار	دار+م|دار+م|دار+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
4	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
5	متاسفانه	متأسفانه|متأسف	متأسفانه|متأسف	متأسفانه|متأسف+انه	Ad|A0+Pl	قید|صفت + انه
6	با	با	با	با	Pr	حرف اضافه
7	یه	یه	یه	یه	N1	اسم
8	بار	بار|بار	بار|بار	بار|بار	V|N1	فعل امر مثبت|اسم
9	زندگی	زندگی|زنده	زندگی|زنده	زندگی|زنده+گی	N1|A0+O	اسم|صفت + گی
10	نمیشه	میش|می|می	میش|می|می	میش+ه|می+ش+ه|می+ش+ه	N1+O|N1+N+O|N1+N+O	اسم + ه|اسم + ضمیر ملکی سوم شخص مفرد + ه|اسم + ضمیر ملکی سوم شخص مفرد + ه
11	همشون	شون	شون	هم+شون	O+N1	هم + اسم
12	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
13	انجام	انجام|انجام	انجام|انجام	انجام|انجام	N1|V	اسم|فعل امر مثبت
14	داد	داد|داد	داد|داد	داد|داد	V|N1	سوم شخص مفرد|اسم
15	!	!	!	!	Si	

0	من	من	من	من	N5	ضمیر فاعلی
1	حتی	حتی	حتی	حتی	Ad	قید
2	تو	تو|تو|تو	تو|تو|تو	تو|تو|تو	N5|Ad|N1	ضمیر فاعلی|قید|اسم
3	خاستگاری	خاست	خاست	خاست+گار+ی	V2+O+Y	بن ماضی + گار + ی
4	دختر	دختر	دختر	دختر	N1	اسم
5	خالمم	خالمم	خالمم	خالمم	N
6	بیسکوییت	سکو	سکو	بی+سکو+ی+یت	O+N1+Y+O	بی + اسم + ی + یت
7	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
8	زدم	زد|زد|زد	زد|زد|زد	زد+م|زد+م|زد+م	V|N1+N|N1+V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
9	تو	تو|تو|تو	تو|تو|تو	تو|تو|تو	N5|Ad|N1	ضمیر فاعلی|قید|اسم
10	چای	چای|چای	چای|چای	چای|چای	V|N1	فعل امر مثبت|اسم
11	.	.	.	.	Si	

0	قبلا	قبلا	قبلا	قبلا	Ad	قید
1	انقد	انقد	انقد	انقد	N
2	دوسش	دوس	دوس	دوس+ش	V	سوم شخص مفرد
3	نداشتم	داشت	داشت	ن+داشت+م	V	اول شخص مفرد
4	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
5	بشر	بشر|بشر|شر|شر	بشر|بشر|شر|شر	بشر|بشر|ب+شر|ب+شر	N1|N1|O+A0|O+N1	اسم|اسم|ب + صفت|ب + اسم
6	رو	رو|رو|رو|رو	رو|رو|رو|رو	رو|رو|رو|رو	N1|V|V|N9	اسم|فعل امر مثبت|فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
7	ولی	ولی|ولی|ول|ول	ولی|ولی|ول|ول	ولی|ولی|ول+ی|ول+ی	C0|N1|A0+Y|N1+Y	حرف ربط|اسم|صفت + ی|اسم + ی
8	جدیدا	جدیداً	جدیداً	جدیداً	Ad	قید
9	احساس	احساس	احساس	احساس	N1	اسم
10	عمیقا	عمیقاً	عمیقاً	عمیقاً	Ad	قید
11	خوبی	خوبی|خوب	خوبی|خوب	خوبی|خوب+ی	N1|A0+Y	اسم|صفت + ی
12	بهم	هم|به|به	هم|به|به	ب+هم|به+م|به+م	O+Ad|N1+N|N1+V	ب + قید|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد
13	میده	میده	میده	میده	N
14	معاشرت	معاشرت|معاشر	معاشرت|معاشر	معاشرت|معاشر+ت	N1|A0+N	اسم|صفت + ضمیر ملکی دوم شخص مفرد
15	باهاش	باهاش	باهاش	باهاش	N
16	واقعا	واقعاً	واقعاً	واقعاً	Ad	قید
17	آدم	آدم	آدم	آدم	N1	اسم
18	لذت‌بخشیه	لذتبخش	لذتبخش	لذتبخش+یه	A0+O	صفت + یه
19	.	.	.	.	Si	

0	فشاری	فشاری|فشار	فشاری|فشار	فشاری|فشار+ی	A0|N1+Y	صفت|اسم + ی
1	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
2	دستشویی	دستشویی	دستشویی	دستشویی	N1	اسم
3	ایرانی	ایرانی|ایران	ایرانی|ایران	ایرانی|ایران+ی	A0|N2+Y	صفت|اسم خاص مکان + ی
4	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
5	پام	پا	پا	پا	N
6	میاره	میاره	میاره	میاره	N
7	از	از	از	از	Pr	حرف اضافه
8	هزاران	هزار	هزار	هزار+ان	N1+Pl	اسم + ان
9	اسکات	اسکات	اسکات	اسکات	N1	اسم
10	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
11	دوییدن	دوییدن	دوییدن	دوییدن	N
12	بیشتره	بیشتر|بیش|شتر	بیشتر|بیش|شتر	بیشتر+ه|بیش+تر+ه|بی+شتر+ه	A0+O|A0+A+O|O+N1+O	صفت + ه|صفت + علامت صفت تفضیلی + ه|بی + اسم + ه
13	.	.	.	.	Si	

0	آرین	آرین	آرین	آرین	N3	اسم خاص اشخاص
1	جان	جان	جان	جان	N1	اسم
2	عزیزم	عزیز|عزیز	عزیز|عزیز	عزیز+م|عزیز+م	A0+N|A0+V	صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد
3	وقتی	وقتی|وقت	وقتی|وقت	وقتی|وقت+ی	Ad|N1+Y	قید|اسم + ی
4	هنوز	هنوز	هنوز	هنوز	Ad	قید
5	داره	دار|دار	دار|دار	دار+ه|دار+ه	V1+O|N1+O	بن مضارع + ه|اسم + ه
6	بخار	بخار|خار|خار	بخار|خار|خار	بخار|ب+خار|ب+خار	N1|V|O+N1	اسم|فعل امر مثبت|ب + اسم
7	از	از	از	از	Pr	حرف اضافه
8	روش	روش	روش	روش	N1	اسم
9	بلند	بلند|بلند|بلند|لند|بل|بل	بلند|بلند|بلند|لند|بل|بل	بلند|بلند|بلند|ب+لند|بل+ند|بل+ند	A0|N1|N1|V|N1+V|N1+V	صفت|اسم|اسم|فعل امر مثبت|اسم + فعل سوم شخص جمع|اسم + فعل سوم شخص جمع
10	میشه	میش|می|می	میش|می|می	میش+ه|می+ش+ه|می+ش+ه	N1+O|N1+N+O|N1+N+O	اسم + ه|اسم + ضمیر ملکی سوم شخص مفرد + ه|اسم + ضمیر ملکی سوم شخص مفرد + ه
11	،	،	،	،	Si	
12	یعنی	یعنی	یعنی	یعنی	C0	حرف ربط
13	جوشه	جوش|جوش	جوش|جوش	جوش+ه|جوش+ه	V1+O|A0+O	بن مضارع + ه|صفت + ه
14	!!!!	!!!!	!!!!	!!!!	Si	

0	کنترل	کنترل	کنترل	کنترل	N1	اسم
1	کن	کن|کن|کن	کن|کن|کن	کن|کن|کن	V|V|N2	فعل امر مثبت|فعل امر مثبت|اسم خاص مکان
2	خودتو	خودتو	خودتو	خودتو	N
3	!!!	!!!	!!!	!!!	Si	

0	چرا	چرا|چرا|چرا	چرا|چرا|چرا	چرا|چرا|چرا	NA|N1|N1	ضمیر پرسشی|اسم|اسم
1	نمیری	میر|میر	میر|میر	میر+ی|میر+ی	V|N1+Y	دوم شخص مفرد|اسم + ی
2	متن	متن	متن	متن	N1	اسم
3	از	از	از	از	Pr	حرف اضافه
4	سایت	سایت	سایت	سایت	N1	اسم
5	خبرگذاریا	خبرگذاریا	خبرگذاریا	خبرگذاریا	N
6	برداری	بردار|بردار|برد	بردار|بردار|برد	بردار+ی|بردار+ی|برد+ار+ی	V|N1+Y|O+O+Y	دوم شخص مفرد|اسم + ی|ریشه ماضی + ار + ی
7	؟	؟	؟	؟	Si	

0	حالا	حالا	حالا	حالا	Ad	قید
1	همیشه	همیشه	همیشه	همیشه	Ad	قید
2	۱۵۰	۱۵۰	۱۵۰	۱۵۰	No	عدد رقمی
3	بار	بار|بار	بار|بار	بار|بار	V|N1	فعل امر مثبت|اسم
4	باید	باید	باید	باید	V4	فعل وجه نما
5	گوشی	گوشی|گوش	گوشی|گوش	گوشی|گوش+ی	N1|N1+Y	اسم|اسم + ی
6	زنگ	زنگ	زنگ	زنگ	N1	اسم
7	بخوره	خوره|بخور|بخور|خور	خوره|بخور|بخور|خور	ب+خوره|بخور+ه|بخور+ه|ب+خور+ه	O+N1|N1+O|A0+O|O+V1+O	ب + اسم|اسم + ه|صفت + ه|ب + بن مضارع + ه
8	تا	تا|تا|تا	تا|تا|تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات
9	بیدار	بیدار|دار	بیدار|دار	بیدار|بی+دار	A0|O+N1	صفت|بی + اسم
10	بشم	بشم|شم	بشم|شم	بشم|ب+شم	N1|O+N1	اسم|ب + اسم
11	چون	چون|چون	چون|چون	چون|چون	C0|Pr	حرف ربط|حرف اضافه
12	جمعه‌اس	جمعه اس	جمعه اس	جمعه اس	N
13	،	،	،	،	Si	
14	بار	بار|بار	بار|بار	بار|بار	V|N1	فعل امر مثبت|اسم
15	اول	اول	اول	اول	A0	صفت
16	بیدار	بیدار|دار	بیدار|دار	بیدار|بی+دار	A0|O+N1	صفت|بی + اسم
17	شدم	شد	شد	شد+م	V	اول شخص مفرد
18	.	.	.	.	Si	

0	کاش	کاش	کاش	کاش	Intj	صوت
1	اندازه	اندازه|انداز	اندازه|انداز	اندازه|انداز+ه	N1|V1+O	اسم|بن مضارع + ه
2	امیرحسن	امیرحسن	امیرحسن	امیرحسن	N3	اسم خاص اشخاص
3	بلد	بلد	بلد	بلد	N1	اسم
4	بودم	بود|بود|بود|بود	بود|بود|بود|بود	بود+م|بود+م|بود+م|بود+م	V|N1+N|N1+V|V	اول شخص مفرد|اسم + ضمیر ملکی اول شخص مفرد|اسم + فعل اول شخص مفرد|اول شخص مفرد
5	سه‌تار	سه‌تار	سه‌تار	سه‌تار	N1	اسم
6	بزنم	بزن|بزن|زن|زن|زن	بزن|بزن|زن|زن|زن	بزن+م|بزن+م|ب+زن+م|ب+زن+م|ب+زن+م	A0+N|A0+V|V|O+N1+N|O+N1+V	صفت + ضمیر ملکی اول شخص مفرد|صفت + فعل اول شخص مفرد|اول شخص مفرد|ب + اسم + ضمیر ملکی اول شخص مفرد|ب + اسم + فعل اول شخص مفرد
7	.	.	.	.	Si	

0	حرف	حرف|حرف	حرف|حرف	حرف|حرف	N1|N1	اسم|اسم
1	زدن	زد	زد	زد+ن	V2+Neg	بن ماضی + ن
2	با	با	با	با	Pr	حرف اضافه
3	یکی	یکی	یکی	یکی	A2	صفت مبهم
4	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
5	بفهمه	فهم|فهم	فهم|فهم	ب+فهم+ه|ب+فهم+ه	O+V1+O|O+N1+O	ب + بن مضارع + ه|ب + اسم + ه
6	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
7	گوش	گوش	گوش	گوش	N1	اسم
8	کنه	کنه|کنه|کن|کن	کنه|کنه|کن|کن	کنه|کنه|کن+ه|کن+ه	N1|N1|V1+O|V1+O	اسم|اسم|بن مضارع + ه|بن مضارع + ه
9	خیلی	خیلی|خیلی|خیل	خیلی|خیلی|خیل	خیلی|خیلی|خیل+ی	A0|Ad|N1+Y	صفت|قید|اسم + ی
10	خوبه	خوب	خوب	خوب+ه	A0+O	صفت + ه
11	.	.	.	.	Si	

0	درسته	درسته|درست	درسته|درست	درسته|درست+ه	A0|A0+O	صفت|صفت + ه
1	قهرمان	قهرمان|قهر	قهرمان|قهر	قهرمان|قهر+مان	A0|N1+N	صفت|اسم + ضمیر ملکی اول شخص جمع
2	نشدیم	شد	شد	ن+شد+یم	V	اول شخص جمع
3	ولی	ولی|ولی|ول|ول	ولی|ولی|ول|ول	ولی|ولی|ول+ی|ول+ی	C0|N1|A0+Y|N1+Y	حرف ربط|اسم|صفت + ی|اسم + ی
4	تو	تو|تو|تو	تو|تو|تو	تو|تو|تو	N5|Ad|N1	ضمیر فاعلی|قید|اسم
5	۴۴	۴۴	۴۴	۴۴	No	عدد رقمی
6	درصد	درصد	درصد	درصد	N1	اسم
7	بالای	بالا|لای|لا	بالا|لای|لا	بالا+ی|با+لای|با+لا+ی	A0+Y|O+N1|O+A0+Y	صفت + ی|با + اسم|با + صفت + ی
8	جدول	جدول|جد|جد	جدول|جد|جد	جدول|جد+ول|جد+ول	N1|N1+O|N1+O	اسم|اسم + ول|اسم + ول
9	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
10	بودیم	بود|بود|بود|بود|بود	بود|بود|بود|بود|بود	بود+یم|بود+ی+م|بود+یم|بود+یم|بود+ی+م	V|V|N1+V|V|V	اول شخص جمع|دوم شخص مفرد|اسم + فعل اول شخص جمع|اول شخص جمع|دوم شخص مفرد
11	.	.	.	.	Si	

0	یه	یه	یه	یه	N1	اسم
1	مسیر	مسیر	مسیر	مسیر	N1	اسم
2	نسبتا	نسبتاً	نسبتاً	نسبتاً	Ad	قید
3	زیاد	زیاد	زیاد	زیاد	A0	صفت
