0	﻿ما	ما	ما	ما	N5	ضمیر فاعلی
11	وجود	وجود|وجود	وجود|وجود	وجود|وجود	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
12	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
13	.	.	.	.	Si	

0	برخی	برخی	برخی	برخی	A2	صفت مبهم
1	ریشه	ریشه|ریش|ری	ریشه|ریش|ری	ریشه|ریش+ه|ری+ش+ه	N1|N1+O|N1+N+O	اسم|اسم + ه|اسم + ضمیر ملکی سوم شخص مفرد + ه
2	واژه	واژه|واژ	واژه|واژ	واژه|واژ+ه	N1|N1+O	اسم|اسم + ه
3	تاریخ	تاریخ	تاریخ	تاریخ	N1	اسم
4	را	را	را	را	Po	حرف اضافه پسین
5	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
6	زبان	زبان	زبان	زبان	N1	اسم
7	فارس	فارس	فارس	فارس	N1	اسم
8	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
9	مفهوم	مفهوم	مفهوم	مفهوم	N1	اسم
10	«	«	«	«	Si	
11	ماه	ماه	ماه	ماه	N1	اسم
12	روز	روز	روز	روز	N1	اسم
13	»	»	»	»	Si	
14	جستجو	جستجو|جست	جستجو|جست	جستجو|جست+جو	N1|N1+O	اسم|اسم + جو
15	نمود | نما	نمود | نما	نمود | نما	نمود | نما	O	
16	.	.	.	.	Si	

0	واژه	واژه|واژ	واژه|واژ	واژه|واژ+ه	N1|N1+O	اسم|اسم + ه
1	)	)	)	)	Si	
2	ماه	ماه	ماه	ماه	N1	اسم
3	روز	روز	روز	روز	N1	اسم
4	»	»	»	»	Si	
5	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
6	ایران	ایران	ایران	ایران	N2	اسم خاص مکان
7	باستان	باستان|استان|باس|اس	باستان|استان|باس|اس	باستان|ب+استان|باس+تان|ب+اس+تان	A0|O+N1|N1+N|O+N1+N	صفت|ب + اسم|اسم + ضمیر ملکی دوم شخص جمع|ب + اسم + ضمیر ملکی دوم شخص جمع
8	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
9	معنا	معنا	معنا	معنا	N1	اسم
10	«	«	«	«	Si	
11	تعیین	تعیین	تعیین	تعیین	N1	اسم
12	روز	روز	روز	روز	N1	اسم
13	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
14	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
15	آن	آن|آن	آن|آن	آن|آن	A1|N6	صفت اشاره|ضمیر اشاره
16	امر	امر	امر	امر	N1	اسم
17	مشهور	مشهور	مشهور	مشهور	A0	صفت
18	بین	بین|بین|بین|ین	بین|بین|بین|ین	بین|بین|بین|ب+ین	V|N9|A0|O+N1	فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|صفت|ب + اسم
19	ملت	ملت|مل|مل	ملت|مل|مل	ملت|مل+ت|مل+ت	N1|N1+N|N1+N	اسم|اسم + ضمیر ملکی دوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
20	یا	یا|یا	یا|یا	یا|یا	C0|Intj	حرف ربط|صوت
21	دولت	دولت|دول|دول	دولت|دول|دول	دولت|دول+ت|دول+ت	N1|N1+N|N1+N	اسم|اسم + ضمیر ملکی دوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
22	آشکار	آشکار|آشکار	آشکار|آشکار	آشکار|آشکار	V|A0	فعل امر مثبت|صفت
23	شده	شد	شد	شد+ه	V3+O	فعل اسنادی + ه
24	یا	یا|یا	یا|یا	یا|یا	C0|Intj	حرف ربط|صوت
25	آنکه	آنکه|آنکه	آنکه|آنکه	آنکه|آنکه	Ad|N5	قید|ضمیر فاعلی
26	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
27	آن	آن|آن	آن|آن	آن|آن	A1|N6	صفت اشاره|ضمیر اشاره
28	روز	روز	روز	روز	N1	اسم
29	واقعه	واقعه|واقع	واقعه|واقع	واقعه|واقع+ه	N1|N1+O	اسم|اسم + ه
30	ترسناک	ترسناک|ترس	ترسناک|ترس	ترسناک|ترس+ناک	A0|N1+O	صفت|اسم + ناک
31	چون	چون|چون	چون|چون	چون|چون	C0|Pr	حرف ربط|حرف اضافه
32	زلزله	زلزله	زلزله	زلزله	N1	اسم
33	یا	یا|یا	یا|یا	یا|یا	C0|Intj	حرف ربط|صوت
34	طوفان	طوفان	طوفان	طوفان	N1	اسم
35	حادث	حادث	حادث	حادث	A0	صفت
36	گردیده	گردیده|گردید|گردید	گردیده|گردید|گردید	گردیده|گردید+ه|گردید+ه	A0|V3+O|O+O	صفت|فعل اسنادی + ه|ریشه ماضی + ه
37	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
38	.	.	.	.	Si	

0	»	»	»	»	Si	
1	بنابراین	بنابراین|برا	بنابراین|برا	بنابراین|نا+ب+برا+ین	Ad|O+Neg+A0+O	قید|ب + نا + صفت + ین
2	آنچه	آنچه	آنچه	آنچه	N1	اسم
3	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
4	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
5	مفهوم	مفهوم	مفهوم	مفهوم	N1	اسم
6	دارا	دارا	دارا	دارا	A0	صفت
7	حضور	حضور	حضور	حضور	N1	اسم
8	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
9	نمود	نمود|نمود|مو	نمود|نمود|مو	نمود|نمود|ن+مو+د	V|N1|V	سوم شخص مفرد|اسم|سوم شخص مفرد
10	بیشتری	بیشتر|شتری|بیش|شتر	بیشتر|شتری|بیش|شتر	بیشتر+ی|بی+شتری|بیش+تر+ی|بی+شتر+ی	A0+Y|O+N1|A0+A+Y|O+N1+Y	صفت + ی|بی + اسم|صفت + علامت صفت تفضیلی + ی|بی + اسم + ی
11	بوده	بود|بود|بود	بود|بود|بود	بود+ه|بود+ه|بود+ه	O+O|N1+O|V3+O	ریشه ماضی + ه|اسم + ه|فعل اسنادی + ه
12	،	،	،	،	Si	
13	توجه	توجه	توجه	توجه	N1	اسم
14	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
15	رخداد	رخداد	رخداد	رخداد	N1	اسم
16	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
17	حوادث	حادثه	حادثه	حادثه	N	اسم مفرد جمع مکسر
18	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
19	قالب	قالب	قالب	قالب	N1	اسم
20	مکان	مکان|مک|مک	مکان|مک|مک	مکان|مک+ان|مک+ان	N1|N1+Pl|Ad+Pl	اسم|اسم + ان|قید + ان
21	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
22	زمان	زمان|زم	زمان|زم	زمان|زم+ان	N1|N1+Pl	اسم|اسم + ان
23	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
24	.	.	.	.	Si	

0	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	برخی	برخی	برخی	برخی	A2	صفت مبهم
2	از	از	از	از	Pr	حرف اضافه
3	گزارش	گزارش|گزارش|گزار	گزارش|گزارش|گزار	گزارش|گزارش|گزار+ش	N1|N9|V	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|سوم شخص مفرد
4	آمده‌است	آمد	آمد	آمد+ها+ست	N1+Pl+N	اسم + علامت جمع + ضمیر ملکی سوم شخص مفرد
5	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
6	چون	چون|چون	چون|چون	چون|چون	C0|Pr	حرف ربط|حرف اضافه
7	عمر	عمر|عمر	عمر|عمر	عمر|عمر	N1|N3	اسم|اسم خاص اشخاص
8	بن	بن|بن	بن|بن	بن|بن	N2|N1	اسم خاص مکان|اسم
9	خطاب	خطاب	خطاب	خطاب	N1	اسم
10	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
11	تعیین	تعیین	تعیین	تعیین	N1	اسم
12	مبدأ	مبدأ	مبدأ	مبدأ	N1	اسم
13	محاسبه	محاسبه|محاسب	محاسبه|محاسب	محاسبه|محاسب+ه	N1|N1+O	اسم|اسم + ه
14	زمان	زمان|زم	زمان|زم	زمان|زم+ان	N1|N1+Pl	اسم|اسم + ان
15	دچار	دچار	دچار	دچار	Ad	قید
16	مشکل	مشکل	مشکل	مشکل	N1	اسم
17	شد | شو	شد | شو	شد | شو	شد | شو	O	
18	،	،	،	،	Si	
19	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
20	پیشنهاد	پیشنهاد|نهاد|نهاد	پیشنهاد|نهاد|نهاد	پیشنهاد|پیش+نهاد|پیش+نهاد	N1|V|V	اسم|سوم شخص مفرد|سوم شخص مفرد
21	هرمز	هرمز	هرمز	هرمز	N3	اسم خاص اشخاص
22	(	(	(	(	Si	
23	از	از	از	از	Pr	حرف اضافه
24	موالی	موالی	موالی	موالی	N1	اسم
25	ایران	ایران	ایران	ایران	N2	اسم خاص مکان
26	ساکن	ساکن	ساکن	ساکن	A0	صفت
27	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
28	مدینه	مدینه	مدینه	مدینه	N2	اسم خاص مکان
29	)	)	)	)	Si	
30	از	از	از	از	Pr	حرف اضافه
31	تعریب	تعریب	تعریب	تعریب	N
32	ترکیب	ترکیب	ترکیب	ترکیب	N1	اسم
33	فارس	فارس	فارس	فارس	N1	اسم
34	«	«	«	«	Si	
35	ماه	ماه	ماه	ماه	N1	اسم
36	روز	روز	روز	روز	N1	اسم
37	»	»	»	»	Si	
38	،	،	،	،	Si	
39	واژه	واژه|واژ	واژه|واژ	واژه|واژ+ه	N1|N1+O	اسم|اسم + ه
40	«	«	«	«	Si	
41	مورخ	مورخ|مورخ	مورخ|مورخ	مورخ|مورخ	N1|A0	اسم|صفت
42	»	»	»	»	Si	
43	را	را	را	را	Po	حرف اضافه پسین
44	ساختساز	ساختساز	ساختساز	ساختساز	N
45	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
46	مصدر	مصدر	مصدر	مصدر	N1	اسم
47	را	را	را	را	Po	حرف اضافه پسین
48	«	«	«	«	Si	
49	تأریخ	تاریخ	تاریخ	تاریخ	N1	اسم
50	»	»	»	»	Si	
51	قرار	قرار|قرار	قرار|قرار	قرار|قرار	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
52	داد | ده	داد | ده	داد | ده	داد | ده	O	
53	.	.	.	.	Si	

0	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	خصوص	خصوص|خصوص	خصوص|خصوص	خصوص|خصوص	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
2	تعریب	تعریب	تعریب	تعریب	N
3	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
4	معرب	معرب|معرب	معرب|معرب	معرب|معرب	A0|A0	صفت|صفت
5	بودن	بود|بود|بو	بود|بود|بو	بود+ن|بود+ن|بو+د+ن	V2+Neg|V3+Neg|V1+O+Neg	بن ماضی + ن|فعل اسنادی + ن|بن مضارع + د + ن
6	واژه	واژه|واژ	واژه|واژ	واژه|واژ+ه	N1|N1+O	اسم|اسم + ه
7	تاریخ	تاریخ	تاریخ	تاریخ	N1	اسم
8	باید	باید	باید	باید	V4	فعل وجه نما
9	توجه	توجه	توجه	توجه	N1	اسم
10	داشت	داشت|داشت|داشت|داش	داشت|داشت|داشت|داش	داشت|داشت|داشت|داش+ت	V|V5|N1|N1+N	سوم شخص مفرد|فعل کمکی|اسم|اسم + ضمیر ملکی دوم شخص مفرد
11	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
12	کمترین	کم	کم	کم+ترین	A0+A	صفت + علامت صفت تفضیلی
13	شباهت	شباهت	شباهت	شباهت	N1	اسم
14	آوا	آوا	آوا	آوا	N1	اسم
15	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
16	قرابت	قرابت	قرابت	قرابت	N1	اسم
17	واکه	واکه	واکه	واکه	N1	اسم
18	یا	یا|یا	یا|یا	یا|یا	C0|Intj	حرف ربط|صوت
19	هم‌آهنگی	آهنگی|آهنگ	آهنگی|آهنگ	هم+آهنگی|هم+آهنگ+ی	O+A0|O+N1+Y	هم + صفت|هم + اسم + ی
20	واکه	واکه	واکه	واکه	N1	اسم
21	،	،	،	،	Si	
22	تشابه	تشابه	تشابه	تشابه	N1	اسم
23	صرف	صرف|صرف|صرف|صرف	صرف|صرف|صرف|صرف	صرف|صرف|صرف|صرف	V|N1|A0|N9	فعل امر مثبت|اسم|صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
24	یا	یا|یا	یا|یا	یا|یا	C0|Intj	حرف ربط|صوت
25	تکواژ	تکواژ	تکواژ	تکواژ	N1	اسم
26	بین	بین|بین|بین|ین	بین|بین|بین|ین	بین|بین|بین|ب+ین	V|N9|A0|O+N1	فعل امر مثبت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|صفت|ب + اسم
27	«	«	«	«	Si	
28	ماه	ماه	ماه	ماه	N1	اسم
29	روز	روز	روز	روز	N1	اسم
30	»	»	»	»	Si	
31	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
32	«	«	«	«	Si	
33	تاریخ	تاریخ	تاریخ	تاریخ	N1	اسم
34	»	»	»	»	Si	
35	وجود	وجود|وجود	وجود|وجود	وجود|وجود	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
36	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
37	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
38	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
39	همین	همین|همین	همین|همین	همین|همین	A1|N6	صفت اشاره|ضمیر اشاره
40	دلیل	دلیل	دلیل	دلیل	N1	اسم
41	،	،	،	،	Si	
42	آن	آن|آن	آن|آن	آن|آن	A1|N6	صفت اشاره|ضمیر اشاره
43	را	را	را	را	Po	حرف اضافه پسین
44	تعرب	تعرب	تعرب	تعرب	N
45	غریب	غریب	غریب	غریب	A0	صفت
46	می	می|می	می|می	می|می	N1|N1	اسم|اسم
47	دانست | دان	دانست | دان	دانست | دان	دانست | دان	O	
48	.	.	.	.	Si	

0	امواج	موج	موج	موج	N	اسم مفرد جمع مکسر
1	موجود	موجود	موجود	موجود	A0	صفت
2	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
3	فضا	فضا	فضا	فضا	N1	اسم
4	توسط	توسط|توسط	توسط|توسط	توسط|توسط	N1|N9	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
5	آنتن	آنتن	آنتن	آنتن	N1	اسم
6	موبایل	موبایل	موبایل	موبایل	N1	اسم
7	دریافت	دریافت|دریافت	دریافت|دریافت	دریافت|دریافت	V|N1	سوم شخص مفرد|اسم
8	شده	شد	شد	شد+ه	V3+O	فعل اسنادی + ه
9	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
10	وارد	وارد	وارد	وارد	N1	اسم
11	قطعه	قطعه|قطع	قطعه|قطع	قطعه|قطع+ه	N1|N1+O	اسم|اسم + ه
12	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
13	نام	نام|نام	نام|نام	نام|نام	N1|V	اسم|فعل امر مثبت
14	آنتن	آنتن	آنتن	آنتن	N1	اسم
15	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
16	شد | شو	شد | شو	شد | شو	شد | شو	O	
17	.	.	.	.	Si	

0	آنتن	آنتن	آنتن	آنتن	N1	اسم
1	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
2	وظیفه	وظیفه	وظیفه	وظیفه	N1	اسم
3	تعیین	تعیین	تعیین	تعیین	N1	اسم
4	حالت	حالت|حال	حالت|حال	حالت|حال+ت	N1|N1+N	اسم|اسم + ضمیر ملکی دوم شخص مفرد
5	فرستندگی	فرستنده|فرست|فرس	فرستنده|فرست|فرس	فرستنده+گی|فرست+نده+گی|فرس+ت+نده+گی	N1+O|V1+O+O|N1+N+O+O	اسم + گی|بن مضارع + نده + گی|اسم + ضمیر ملکی دوم شخص مفرد + نده + گی
6	یا	یا|یا	یا|یا	یا|یا	C0|Intj	حرف ربط|صوت
7	گیرندگی	گیرنده|گیر	گیرنده|گیر	گیرنده+گی|گیر+نده+گی	N1+O|V1+O+O	اسم + گی|بن مضارع + نده + گی
8	آنتن	آنتن	آنتن	آنتن	N1	اسم
9	را	را	را	را	Po	حرف اضافه پسین
10	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
11	عهده	عهده|عهد	عهده|عهد	عهده|عهد+ه	N1|N1+O	اسم|اسم + ه
12	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
13	.	.	.	.	Si	

0	بسته	بسته|بست|بست|سته|ست	بسته|بست|بست|سته|ست	بسته|بست+ه|بست+ه|ب+سته|ب+ست+ه	A0|N1+O|O+O|O+N1|O+N1+O	صفت|اسم + ه|ریشه ماضی + ه|ب + اسم|ب + اسم + ه
1	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
2	این	این|این	این|این	این|این	A1|N6	صفت اشاره|ضمیر اشاره
3	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
4	موبایل	موبایل	موبایل	موبایل	N1	اسم
5	سازگار	سازگار|ساز	سازگار|ساز	سازگار|ساز+گار	A0|N1+O	صفت|اسم + گار
6	با	با	با	با	Pr	حرف اضافه
7	چند	چند	چند	چند	NA	ضمیر پرسشی
8	باند	باند	باند	باند	N1	اسم
9	GSM	GSM	GSM	GSM	Pl	کلمه انگلیسی
10	بود | باش	بود | باش	بود | باش	بود | باش	O	
11	،	،	،	،	Si	
12	تعداد	تعداد	تعداد	تعداد	N1	اسم
13	پایه	پایه|پایه|پای	پایه|پایه|پای	پایه|پایه|پای+ه	N1|N9|N1+O	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ه
14	آنتن	آنتن	آنتن	آنتن	N1	اسم
15	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
16	متفاوت	متفاوت	متفاوت	متفاوت	A0	صفت
17	بود | باش	بود | باش	بود | باش	بود | باش	O	
18	.	.	.	.	Si	

0	آنتن	آنتن	آنتن	آنتن	N1	اسم
1	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
2	برای	برای	برای	برای	Pr	حرف اضافه
3	هر	هر	هر	هر	A1	صفت اشاره
4	باند	باند	باند	باند	N1	اسم
5	GSM	GSM	GSM	GSM	Pl	کلمه انگلیسی
6	،	،	،	،	Si	
7	آنتن	آنتن	آنتن	آنتن	N1	اسم
8	را	را	را	را	Po	حرف اضافه پسین
9	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
10	یک	یک	یک	یک	No	عدد حرفی
11	خروج	خروج	خروج	خروج	N1	اسم
12	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
13	نام	نام|نام	نام|نام	نام|نام	N1|V	اسم|فعل امر مثبت
14	RX	RX	RX	RX	Pl	کلمه انگلیسی
15	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
16	یک	یک	یک	یک	No	عدد حرفی
17	ورود	ورود	ورود	ورود	N1	اسم
18	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
19	نام	نام|نام	نام|نام	نام|نام	N1|V	اسم|فعل امر مثبت
20	TX	TX	TX	TX	Pl	کلمه انگلیسی
21	وصل	وصل	وصل	وصل	N1	اسم
22	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
23	.	.	.	.	Si	

0	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	حقیقت	حقیقت	حقیقت	حقیقت	N1	اسم
2	آنتن	آنتن	آنتن	آنتن	N1	اسم
3	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
4	مانند	مانند|مانند|مان|مان	مانند|مانند|مان|مان	مانند|مانند|مان+ند|مان+ند	N1|N9|V|N1+V	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|سوم شخص جمع|اسم + فعل سوم شخص جمع
5	یک	یک	یک	یک	No	عدد حرفی
6	کلید	کلید|کل|کل|کل	کلید|کل|کل|کل	کلید|کل+ید|کل+ید|کل+ید	N1|N1+V|N1+V|N1+V	اسم|اسم + فعل دوم شخص جمع|اسم + فعل دوم شخص جمع|اسم + فعل دوم شخص جمع
7	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
8	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
9	با	با	با	با	Pr	حرف اضافه
10	فرمان	فرمان|فر|فر|فر	فرمان|فر|فر|فر	فرمان|فر+مان|فر+مان|فر+مان	N1|N1+N|A0+N|N1+N	اسم|اسم + ضمیر ملکی اول شخص جمع|صفت + ضمیر ملکی اول شخص جمع|اسم + ضمیر ملکی اول شخص جمع
11	آنتن	آنتن	آنتن	آنتن	N1	اسم
12	را	را	را	را	Po	حرف اضافه پسین
13	مرتبا	مرتباً	مرتباً	مرتباً	Ad	قید
14	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
15	خط	خط	خط	خط	N1	اسم
16	RX	RX	RX	RX	Pl	کلمه انگلیسی
17	یا	یا|یا	یا|یا	یا|یا	C0|Intj	حرف ربط|صوت
18	به	به|به	به|به	به|به	Pr|N1	حرف اضافه|اسم
19	TX	TX	TX	TX	Pl	کلمه انگلیسی
20	متصل	متصل	متصل	متصل	A0	صفت
21	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
22	.	.	.	.	Si	

0	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	بلوک	بلوک|لوک|لو	بلوک|لوک|لو	بلوک|ب+لوک|ب+لو+ک	N1|O+N1|O+N1+O	اسم|ب + اسم|ب + اسم + ک
2	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
3	مشاهده	مشاهده|مشاهد	مشاهده|مشاهد	مشاهده|مشاهد+ه	N1|N1+O	اسم|اسم + ه
4	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
5	،	،	،	،	Si	
6	موبایل	موبایل	موبایل	موبایل	N1	اسم
7	قابلیت	قابلیت|قابل	قابلیت|قابل	قابلیت|قابل+یت	N1|A0+O	اسم|صفت + یت
8	کار	کار|کار	کار|کار	کار|کار	N1|V	اسم|فعل امر مثبت
9	با	با	با	با	Pr	حرف اضافه
10	دو	دو|دو|دو|دو	دو|دو|دو|دو	دو|دو|دو|دو	No|V|V|N1	عدد حرفی|فعل امر مثبت|فعل امر مثبت|اسم
11	باند	باند	باند	باند	N1	اسم
12	GSM	GSM	GSM	GSM	Pl	کلمه انگلیسی
13	۹۰۰	۹۰۰	۹۰۰	۹۰۰	No	عدد رقمی
14	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
15	GSM	GSM	GSM	GSM	Pl	کلمه انگلیسی
16	۱۸۰۰	۱۸۰۰	۱۸۰۰	۱۸۰۰	No	عدد رقمی
17	را	را	را	را	Po	حرف اضافه پسین
18	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
19	؛	؛	؛	؛	Si	
20	بنابراین	بنابراین|برا	بنابراین|برا	بنابراین|نا+ب+برا+ین	Ad|O+Neg+A0+O	قید|ب + نا + صفت + ین
21	آنتن	آنتن	آنتن	آنتن	N1	اسم
22	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
23	دو	دو|دو|دو|دو	دو|دو|دو|دو	دو|دو|دو|دو	No|V|V|N1	عدد حرفی|فعل امر مثبت|فعل امر مثبت|اسم
24	خروج	خروج	خروج	خروج	N1	اسم
25	RX	RX	RX	RX	Pl	کلمه انگلیسی
26	و	و|و|و	و|و|و	و|و|و	C0|Ab|Al	حرف ربط|اختصارات|حروف الفبا
27	دو	دو|دو|دو|دو	دو|دو|دو|دو	دو|دو|دو|دو	No|V|V|N1	عدد حرفی|فعل امر مثبت|فعل امر مثبت|اسم
28	ورود	ورود	ورود	ورود	N1	اسم
29	TX	TX	TX	TX	Pl	کلمه انگلیسی
30	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
31	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
32	در	در|در|در|در|در	در|در|در|در|در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
33	شبکه‌‌ها	شبکه|شب	شبکه|شب	شبکه+ها|شب+ک+ه+ها	N1+Pl|N1+O+O+Pl	اسم + علامت جمع|اسم + ک + ه + علامت جمع
34	ی	ی|ی	ی|ی	ی|ی	Al|Ab	حروف الفبا|اختصارات
35	تلفن	تلفن	تلفن	تلفن	N1	اسم
36	ایران	ایران	ایران	ایران	N2	اسم خاص مکان
37	از	از	از	از	Pr	حرف اضافه
38	آن	آن|آن	آن|آن	آن|آن	A1|N6	صفت اشاره|ضمیر اشاره
39	جا	جا	جا	جا	N1	اسم
40	که	که|که|که|که	که|که|که|که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم
41	GSM	GSM	GSM	GSM	Pl	کلمه انگلیسی
42	۹۰۰	۹۰۰	۹۰۰	۹۰۰	No	عدد رقمی
43	است	است|اس	است|اس	است|اس+ت	V|N1+N	سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
44	خط	خط	خط	خط	N1	اسم
