
0	ما	ما	﻿ما	ما	N5	ضمیر فاعلی
2	واژه	واژه|واژ	واژه	واژه|واژ+ه	O+N1|N1	اسم|اسم + ه
3	تاریخ	تاریخ	تاریخ	تاریخ	N1	اسم
4	را	را	را	را	Po	حرف اضافه پسین
5	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
6	زبان	زبان	زبان	زبان	N1	اسم
7	فارس	فارس	فارس	فارس	N1	اسم
8	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
9	مفهوم	مفهوم	مفهوم	مفهوم	N1	اسم
10	«	«	«	«	O	
11	ماه	ماه	ماه	ماه	N1	اسم
12	روز	روز	روز	روز	N1	اسم
13	»	»	»	»	O	
14	جستجو	جستجو|جست	جستجو	جستجو|جست+جو	O+N1|N1	اسم|اسم + جو
15	نمود | نما	نمود | نما	نمود | نما	نمود | نما	O	
16	.	.	.	.	Si	علامت نگارشی

0	واژه	واژه|واژ	واژه	واژه|واژ+ه	O+N1|N1	اسم|اسم + ه
1	)	)	)	)	O	
2	ماه	ماه	ماه	ماه	N1	اسم
3	روز	روز	روز	روز	N1	اسم
4	»	»	»	»	O	
5	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
6	ایران	ایران	ایران	ایران	N2	اسم خاص مکان
7	باستان	باستان|استان|باس|اس	باستان	باستان|ب+استان|باس+تان|ب+اس+تان	O+N1+O|O+N1|N1+O|A0	صفت|ب + اسم|اسم + ضمیر ملکی دوم شخص جمع|ب + اسم + ضمیر ملکی دوم شخص جمع
8	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
9	معنا	معنا	معنا	معنا	N1	اسم
10	«	«	«	«	O	
11	تعیین	تعیین	تعیین	تعیین	N1	اسم
12	روز	روز	روز	روز	N1	اسم
13	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
14	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
15	آن	ان	آن	ان	Ab	اختصارات
16	امر	امر	امر	امر	N1	اسم
17	مشهور	مشهور	مشهور	مشهور	A0	صفت
18	بین	بین|بین|بین|ین	بین	بین|بین|بین|ب+ین	N1+O|N9|A0|V6	فعل امر مثبت|صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|ب + اسم
19	ملت	ملت|مل	ملت	ملت|مل+ت	O+N1|N1	اسم|اسم + ضمیر ملکی دوم شخص مفرد
20	یا	یا|یا	یا	یا|یا	Intj|C0	حرف ربط|صوت
21	دولت	دولت|دول|دول	دولت	دولت|دول+ت|دول+ت	O+N1|O+N1|N1	اسم|اسم + ضمیر ملکی دوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
22	آشکار	آش‌کار|آشکار|آشکار	آشکار	آش‌کار|آشکار|آشکار	A0|V6|N1	اسم|فعل امر مثبت|صفت
23	شده	شد	شده	شد+ه	O+V3	فعل اسنادی + ه
24	یا	یا|یا	یا	یا|یا	Intj|C0	حرف ربط|صوت
25	آنکه	آن‌که|آن‌که|آنکه|آنکه	آنکه	آن‌که|آن‌که|آنکه|آنکه	N5|Ad|N5|Ad	قید|ضمیر فاعلی|قید|ضمیر فاعلی
26	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
27	آن	ان	آن	ان	Ab	اختصارات
28	روز	روز	روز	روز	N1	اسم
29	واقعه	واقعه|واقع	واقعه	واقعه|واقع+ه	O+N1|N1	اسم|اسم + ه
30	ترسناک	ترسناک|ترس	ترسناک	ترسناک|ترس+ناک	O+N1|A0	صفت|اسم + ناک
31	چون	چون|چون	چون	چون|چون	Pr|C0	حرف ربط|حرف اضافه
32	زلزله	زلزله	زلزله	زلزله	N1	اسم
33	یا	یا|یا	یا	یا|یا	Intj|C0	حرف ربط|صوت
34	طوفان	طوفان	طوفان	طوفان	N1	اسم
35	حادث	حادث	حادث	حادث	A0	صفت
36	گردیده	گردیده|گردید|گردید	گردیده	گردیده|گردید+ه|گردید+ه	O+v2|O+V3|A0	صفت|فعل اسنادی + ه|ریشه ماضی + ه
37	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
38	.	.	.	.	Si	علامت نگارشی

0	»	»	»	»	O	
1	بنابراین	بنابراین|برا|بر	بنابراین	بنابراین|ب+نا+برا+ین|ب+نا+بر+ا+ین	O+O+v1|O+A0+O+O|Ad	قید|ب + نا + صفت + ین|ریشه مضارع + ا + ین
2	آنچه	آنچه	آنچه	آنچه	N1	اسم
3	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
4	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
5	مفهوم	مفهوم	مفهوم	مفهوم	N1	اسم
6	دارا	دارا|دار	دارا	دارا|دار+ا	O+v1|A0	صفت|ریشه مضارع + ا
7	حضور	حضور	حضور	حضور	N1	اسم
8	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
9	نمود	نمود|نمود|مو	نمود	نمود|نمود|ن+مو+د	N1|v2|O+v1+Neg	فعل ماضی ساده:سوم شخص مفرد|اسم|فعل حال التزامی منفی:سوم شخص مفرد
10	بیشتری	بیشتر|شتری|بیش|شتر	بیشتری	بیشتر+ی|بی+شتری|بیش+تر+ی|بی+شتر+ی	Y+N1+O|Y+O+A0|N1+O|Y+A0	صفت + ی|بی + اسم|صفت + علامت صفت تفضیلی + ی|بی + اسم + ی
11	بوده	بود|بود|بود|ود	بوده	بود+ه|بود+ه|بود+ه|ب+ود+ه	O+N1+O|O+V3|O+N1|O+v2	ریشه ماضی + ه|اسم + ه|فعل اسنادی + ه|ب + اسم + ه
12	،	،	،	،	O	
13	توجه	توجه	توجه	توجه	N1	اسم
14	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
15	رخداد	رخداد	رخداد	رخداد	N1	اسم
16	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
17	حوادث	حادثه	حوادث	حادثه	O	اسم مفرد جمع مکسر
18	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
19	قالب	قالب	قالب	قالب	N1	اسم
20	مکان	مکان|مک|مک	مکان	مکان|مک+ان|مک+ان	O+Ad|O+N1|N1	اسم|اسم + ان|قید + ان
21	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
22	زمان	زمان|زم	زمان	زمان|زم+ان	O+N1|N1	اسم|اسم + ان
23	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
24	.	.	.	.	Si	علامت نگارشی

0	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	برخی	برخی|رخ|رخ	برخی	برخی|ب+رخ+ی|ب+رخ+ی	Y+N1+O|Y+N1+O|A2	صفت مبهم|ب + اسم + ی|ب + اسم + ی
2	از	از	از	از	Pr	حرف اضافه
3	گزارش	گزارش|گزارش|گزار	گزارش	گزارش|گزارش|گزار+ش	N9|N1|O+v1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|فعل مضارع ساده:سوم شخص مفرد
4	آمده‌است	امد	آمده‌است	امد+ها+ست	O+Pl+N1	اسم + علامت جمع + ضمیر ملکی سوم شخص مفرد
5	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
6	چون	چون|چون	چون	چون|چون	Pr|C0	حرف ربط|حرف اضافه
7	عمر	عمر|عمر	عمر	عمر|عمر	N3|N1	اسم|اسم خاص اشخاص
8	بن	بن|بن	بن	بن|بن	N1|N2	اسم خاص مکان|اسم
9	خطاب	خطاب	خطاب	خطاب	N1	اسم
10	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
11	تعیین	تعیین	تعیین	تعیین	N1	اسم
12	مبدأ	مبدأ	مبدأ	مبدأ	N1	اسم
13	محاسبه	محاسبه|محاسب	محاسبه	محاسبه|محاسب+ه	O+N1|N1	اسم|اسم + ه
14	زمان	زمان|زم	زمان	زمان|زم+ان	O+N1|N1	اسم|اسم + ان
15	دچار	دچار	دچار	دچار	Ad	قید
16	مشکل	مشکل	مشکل	مشکل	N1	اسم
17	شد | شو	شد | شو	شد | شو	شد | شو	O	
18	،	،	،	،	O	
19	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
20	پیشنهاد	پیشنهاد|نهاد|نهاد	پیشنهاد	پیشنهاد|پیش+نهاد|پیش+نهاد	N1|v2|O+v1	اسم|فعل ماضی ساده:سوم شخص مفرد|فعل مضارع ساده:سوم شخص مفرد
21	هرمز	هرمز	هرمز	هرمز	N3	اسم خاص اشخاص
22	(	(	(	(	O	
23	از	از	از	از	Pr	حرف اضافه
24	موالی	موالی	موالی	موالی	N1	اسم
25	ایران	ایران	ایران	ایران	N2	اسم خاص مکان
26	ساکن	ساکن	ساکن	ساکن	A0	صفت
27	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
28	مدینه	مدینه	مدینه	مدینه	N2	اسم خاص مکان
29	)	)	)	)	O	
30	از	از	از	از	Pr	حرف اضافه
31	تعریب	تعریب	تعریب	تع+ری+ب	O	N1
32	ترکیب	ترکیب	ترکیب	ترکیب	N1	اسم
33	فارس	فارس	فارس	فارس	N1	اسم
34	«	«	«	«	O	
35	ماه	ماه	ماه	ماه	N1	اسم
36	روز	روز	روز	روز	N1	اسم
37	»	»	»	»	O	
38	،	،	،	،	O	
39	واژه	واژه|واژ	واژه	واژه|واژ+ه	O+N1|N1	اسم|اسم + ه
40	«	«	«	«	O	
41	مورخ	مورخ|مورخ	مورخ	مورخ|مورخ	A0|N1	اسم|صفت
42	»	»	»	»	O	
43	را	را	را	را	Po	حرف اضافه پسین
44	ساختساز	ساختساز	ساختساز	ساخت+ساز	O	N1
45	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
46	مصدر	مصدر	مصدر	مصدر	N1	اسم
47	را	را	را	را	Po	حرف اضافه پسین
48	«	«	«	«	O	
49	تأریخ	تاریخ	تأریخ	تاریخ	N1	اسم
50	»	»	»	»	O	
51	قرار	قرار|قرار	قرار	قرار|قرار	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
52	داد | ده	داد | ده	داد | ده	داد | ده	O	
53	.	.	.	.	Si	علامت نگارشی

0	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	خصوص	خصوص|خصوص	خصوص	خصوص|خصوص	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
2	تعریب	تعریب	تعریب	تع+ری+ب	O	N1
3	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
4	معرب	معرب|معرب	معرب	معرب|معرب	A0|A0	صفت|صفت
5	بودن	بود|بود|بو	بودن	بود+ن|بود+ن|بو+د+ن	Neg+O+V1|Neg+V3|Neg+V2	بن ماضی + ن|فعل اسنادی + ن|بن مضارع + د + ن
6	واژه	واژه|واژ	واژه	واژه|واژ+ه	O+N1|N1	اسم|اسم + ه
7	تاریخ	تاریخ	تاریخ	تاریخ	N1	اسم
8	باید	باید	باید	باید	V4	فعل وجه نما
9	توجه	توجه	توجه	توجه	N1	اسم
10	داشت	داشت|داشت|داشت|داش	داشت	داشت|داشت|داشت|داش+ت	O+N1|V5|N1|v2	فعل ماضی ساده:سوم شخص مفرد|اسم|فعل کمکی|اسم + ضمیر ملکی دوم شخص مفرد
11	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
12	کمترین	کم	کمترین	کم+ترین	O+A0	صفت + علامت صفت تفضیلی
13	شباهت	شباهت	شباهت	شباهت	N1	اسم
14	آوا	اوا	آوا	اوا	Intj	صوت
15	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
16	قرابت	قرابت	قرابت	قرابت	N1	اسم
17	واکه	واکه	واکه	واکه	N1	اسم
18	یا	یا|یا	یا	یا|یا	Intj|C0	حرف ربط|صوت
19	هم‌آهنگی	هماهنگی	هم‌آهنگی	هماهنگی	N1	اسم
20	واکه	واکه	واکه	واکه	N1	اسم
21	،	،	،	،	O	
22	تشابه	تشابه	تشابه	تشابه	N1	اسم
23	صرف	صرف|صرف|صرف|صرف	صرف	صرف|صرف|صرف|صرف	N9|A0|N1|V6	فعل امر مثبت|اسم|صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
24	یا	یا|یا	یا	یا|یا	Intj|C0	حرف ربط|صوت
25	تکواژ	تکواژ	تکواژ	تکواژ	N1	اسم
26	بین	بین|بین|بین|ین	بین	بین|بین|بین|ب+ین	N1+O|N9|A0|V6	فعل امر مثبت|صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|ب + اسم
27	«	«	«	«	O	
28	ماه	ماه	ماه	ماه	N1	اسم
29	روز	روز	روز	روز	N1	اسم
30	»	»	»	»	O	
31	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
32	«	«	«	«	O	
33	تاریخ	تاریخ	تاریخ	تاریخ	N1	اسم
34	»	»	»	»	O	
35	وجود	وجود|وجود	وجود	وجود|وجود	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
36	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
37	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
38	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
39	همین	همین|همین|هم|ین	همین	همین|همین|هم+ین|هم+ین	N1+O|O+Ad|N6|A1	صفت اشاره|ضمیر اشاره|قید + ین|هم + اسم
40	دلیل	دلیل	دلیل	دلیل	N1	اسم
41	،	،	،	،	O	
42	آن	ان	آن	ان	Ab	اختصارات
43	را	را	را	را	Po	حرف اضافه پسین
44	تعرب	تعرب	تعرب	ت+عرب	O	N1
45	غریب	غریب	غریب	غریب	A0	صفت
46	می	می|می	می	می|می	N1|N1	اسم|اسم
47	دانست | دان	دانست | دان	دانست | دان	دانست | دان	O	
48	.	.	.	.	Si	علامت نگارشی

0	امواج	موج	امواج	موج	O	اسم مفرد جمع مکسر
1	موجود	موجود	موجود	موجود	A0	صفت
2	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
3	فضا	فضا	فضا	فضا	N1	اسم
4	توسط	توسط|توسط	توسط	توسط|توسط	N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی
5	آنتن	آنتن	آنتن	آنتن	N1	اسم
6	موبایل	موبایل	موبایل	موبایل	N1	اسم
7	دریافت	دریافت|دریافت	دریافت	دریافت|دریافت	N1|v2	فعل ماضی ساده:سوم شخص مفرد|اسم
8	شده	شد	شده	شد+ه	O+V3	فعل اسنادی + ه
9	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
10	وارد	وارد	وارد	وارد	N1	اسم
11	قطعه	قطعه|قطع	قطعه	قطعه|قطع+ه	O+N1|N1	اسم|اسم + ه
12	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
13	نام	نام|نام	نام	نام|نام	V6|N1	اسم|فعل امر مثبت
14	آنتن	آنتن	آنتن	آنتن	N1	اسم
15	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
16	شد | شو	شد | شو	شد | شو	شد | شو	O	
17	.	.	.	.	Si	علامت نگارشی

0	آنتن	آنتن	آنتن	آنتن	N1	اسم
1	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
2	وظیفه	وظیفه	وظیفه	وظیفه	N1	اسم
3	تعیین	تعیین	تعیین	تعیین	N1	اسم
4	حالت	حالت|حال	حالت	حالت|حال+ت	O+N1|N1	اسم|اسم + ضمیر ملکی دوم شخص مفرد
5	فرستندگی	فرستنده|فرست|فرس	فرستندگی	فرستنده+گی|فرست+نده+گی|فرس+ت+نده+گی	O+O+O+N1|O+O+V1|O+N1	اسم + گی|بن مضارع + نده + گی|اسم + ضمیر ملکی دوم شخص مفرد + نده + گی
6	یا	یا|یا	یا	یا|یا	Intj|C0	حرف ربط|صوت
7	گیرندگی	گیرنده|گیر	گیرندگی	گیرنده+گی|گیر+نده+گی	O+O+V1|O+N1	اسم + گی|بن مضارع + نده + گی
8	آنتن	آنتن	آنتن	آنتن	N1	اسم
9	را	را	را	را	Po	حرف اضافه پسین
10	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
11	عهده	عهده|عهده|عهد	عهده	عهده|عهده|عهد+ه	O+N1|N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ه
12	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
13	.	.	.	.	Si	علامت نگارشی

0	بسته	بسته|بست|بست|سته|ست	بسته	بسته|بست+ه|بست+ه|ب+سته|ب+ست+ه	O+N1+O|N1+O|O+v2|O+N1|A0	صفت|اسم + ه|ریشه ماضی + ه|ب + اسم|ب + اسم + ه
1	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
2	این	این|این	این	این|این	N6|A1	صفت اشاره|ضمیر اشاره
3	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
4	موبایل	موبایل	موبایل	موبایل	N1	اسم
5	سازگار	سازگار|ساز	سازگار	سازگار|ساز+گار	O+N1|A0	صفت|اسم + گار
6	با	با	با	با	Pr	حرف اضافه
7	چند	چند	چند	چند	NA	ضمیر پرسشی
8	باند	باند	باند	باند	N1	اسم
9	GSM	GSM	GSM	GSM	O	کلمه انگلیسی
10	بود | باش	بود | باش	بود | باش	بود | باش	O	
11	،	،	،	،	O	
12	تعداد	تعداد	تعداد	تعداد	N1	اسم
13	پایه	پایه|پایه|پای	پایه	پایه|پایه|پای+ه	O+N1|N9|N1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|اسم + ه
14	آنتن	آنتن	آنتن	آنتن	N1	اسم
15	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
16	متفاوت	متفاوت	متفاوت	متفاوت	A0	صفت
17	بود | باش	بود | باش	بود | باش	بود | باش	O	
18	.	.	.	.	Si	علامت نگارشی

0	آنتن	آنتن	آنتن	آنتن	N1	اسم
1	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
2	برای	برای|برا|بر	برای	برای|برا+ی|بر+ا+ی	Y+O+v1|Y+A0|Pr	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی
3	هر	هر	هر	هر	A1	صفت اشاره
4	باند	باند	باند	باند	N1	اسم
5	GSM	GSM	GSM	GSM	O	کلمه انگلیسی
6	،	،	،	،	O	
7	آنتن	آنتن	آنتن	آنتن	N1	اسم
8	را	را	را	را	Po	حرف اضافه پسین
9	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
10	یک	یک	یک	یک	No	عدد حرفی
11	خروج	خروج	خروج	خروج	N1	اسم
12	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
13	نام	نام|نام	نام	نام|نام	V6|N1	اسم|فعل امر مثبت
14	RX	RX	RX	RX	O	کلمه انگلیسی
15	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
16	یک	یک	یک	یک	No	عدد حرفی
17	ورود	ورود|ود	ورود	ورود|ور+ود	N1+O|N1	اسم|ور + اسم
18	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
19	نام	نام|نام	نام	نام|نام	V6|N1	اسم|فعل امر مثبت
20	TX	TX	TX	TX	O	کلمه انگلیسی
21	وصل	وصل	وصل	وصل	N1	اسم
22	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
23	.	.	.	.	Si	علامت نگارشی

0	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	حقیقت	حقیقت	حقیقت	حقیقت	N1	اسم
2	آنتن	آنتن	آنتن	آنتن	N1	اسم
3	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
4	مانند	مانند|مانند|مان|مان	مانند	مانند|مانند|مان+ند|مان+ند	O+N1|N9|N1|O+v1	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|فعل مضارع ساده:سوم شخص جمع|اسم + فعل سوم شخص جمع
5	یک	یک	یک	یک	No	عدد حرفی
6	کلید	کلید|کل|کل	کلید	کلید|کل+ید|کل+ید	O+N1|O+N1|N1	اسم|اسم + فعل دوم شخص جمع|اسم + فعل دوم شخص جمع
7	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
8	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
9	با	با	با	با	Pr	حرف اضافه
10	فرمان	فرمان|فر|فر	فرمان	فرمان|فر+مان|فر+مان	O+A0|O+N1|N1	اسم|اسم + ضمیر ملکی اول شخص جمع|صفت + ضمیر ملکی اول شخص جمع
11	آنتن	آنتن	آنتن	آنتن	N1	اسم
12	را	را	را	را	Po	حرف اضافه پسین
13	مرتبا	مرتباً	مرتبا	مرتباً	Ad	قید
14	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
15	خط	خط	خط	خط	N1	اسم
16	RX	RX	RX	RX	O	کلمه انگلیسی
17	یا	یا|یا	یا	یا|یا	Intj|C0	حرف ربط|صوت
18	به	به|به	به	به|به	N1|Pr	حرف اضافه|اسم
19	TX	TX	TX	TX	O	کلمه انگلیسی
20	متصل	متصل	متصل	متصل	A0	صفت
21	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
22	.	.	.	.	Si	علامت نگارشی

0	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
1	بلوک	بلوک|لوک|لو	بلوک	بلوک|ب+لوک|ب+لو+ک	O+N1+O|N1+O|N1	اسم|ب + اسم|ب + اسم + ک
2	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
3	مشاهده	مشاهده|مشاهد	مشاهده	مشاهده|مشاهد+ه	O+N1|N1	اسم|اسم + ه
4	کرد | کن	کرد | کن	کرد | کن	کرد | کن	O	
5	،	،	،	،	O	
6	موبایل	موبایل	موبایل	موبایل	N1	اسم
7	قابلیت	قابلیت|قابل	قابلیت	قابلیت|قابل+یت	O+A0|N1	اسم|صفت + یت
8	کار	کار|کار	کار	کار|کار	V6|N1	اسم|فعل امر مثبت
9	با	با	با	با	Pr	حرف اضافه
10	دو	دو|دو|دو	دو	دو|دو|دو	N1|V6|No	عدد حرفی|فعل امر مثبت|اسم
11	باند	باند	باند	باند	N1	اسم
12	GSM	GSM	GSM	GSM	O	کلمه انگلیسی
13	۹۰۰	۹۰۰	۹۰۰	۹۰۰	Nu	عدد رقمی
14	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
15	GSM	GSM	GSM	GSM	O	کلمه انگلیسی
16	۱۸۰۰	۱۸۰۰	۱۸۰۰	۱۸۰۰	Nu	عدد رقمی
17	را	را	را	را	Po	حرف اضافه پسین
18	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
19	؛	؛	؛	؛	O	
20	بنابراین	بنابراین|برا|بر	بنابراین	بنابراین|ب+نا+برا+ین|ب+نا+بر+ا+ین	O+O+v1|O+A0+O+O|Ad	قید|ب + نا + صفت + ین|ریشه مضارع + ا + ین
21	آنتن	آنتن	آنتن	آنتن	N1	اسم
22	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
23	دو	دو|دو|دو	دو	دو|دو|دو	N1|V6|No	عدد حرفی|فعل امر مثبت|اسم
24	خروج	خروج	خروج	خروج	N1	اسم
25	RX	RX	RX	RX	O	کلمه انگلیسی
26	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
27	دو	دو|دو|دو	دو	دو|دو|دو	N1|V6|No	عدد حرفی|فعل امر مثبت|اسم
28	ورود	ورود|ود	ورود	ورود|ور+ود	N1+O|N1	اسم|ور + اسم
29	TX	TX	TX	TX	O	کلمه انگلیسی
30	داشت | دار	داشت | دار	داشت | دار	داشت | دار	O	
31	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
32	در	در|در|در|در|در	در	در|در|در|در|در	VPr|N1|N1|V6|Pr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل
33	شبکه‌‌ها	شبکه|شب	شبکه‌‌	شبکه+ها|شب+ک+ه+ها	Pl+O+O+N1|Pl+N1	اسم + علامت جمع|اسم + ک + ه + علامت جمع
34	ی	ی|ی	ی	ی|ی	Al|Ab	اختصارات|حروف الفبا
35	تلفن	تلفن	تلفن	تلفن	N1	اسم
36	ایران	ایران	ایران	ایران	N2	اسم خاص مکان
37	از	از	از	از	Pr	حرف اضافه
38	آن	ان	آن	ان	Ab	اختصارات
39	جا	جا	جا	جا	N1	اسم
40	که	که|که|که|که	که	که|که|که|که	N1|N1|NA|C0	حرف ربط|ضمیر پرسشی|اسم|اسم
41	GSM	GSM	GSM	GSM	O	کلمه انگلیسی
42	۹۰۰	۹۰۰	۹۰۰	۹۰۰	Nu	عدد رقمی
43	است	است|اس	است	است|اس+ت	O+N1|O+v1	فعل مضارع ساده:سوم شخص مفرد|اسم + ضمیر ملکی دوم شخص مفرد
44	خط	خط	خط	خط	N1	اسم
45	RX	RX	RX	RX	O	کلمه انگلیسی
46	و	و|و|و	و	و|و|و	Ab|Al|C0	حرف ربط|حروف الفبا|اختصارات
47	TX	TX	TX	TX	O	کلمه انگلیسی
48	باند	باند	باند	باند	N1	اسم
49	۱۸۰۰	۱۸۰۰	۱۸۰۰	۱۸۰۰	Nu	عدد رقمی
50	بدون	بدون|دون|بد	بدون	بدون|ب+دون|بد+ون	Pl+A0|A0+O|Pr	حرف اضافه|ب + صفت|صفت + علامت جمع
51	استفاده	استفاده	استفاده	استفاده	N1	اسم
52	بود | باش	بود | باش	بود | باش	بود | باش	O	
53	.	.	.	.	Si	علامت نگارشی

0	آنتن	آنتن	آنتن	آنتن	N1	اسم
1	سوییچ	سوییچ	سوییچ	سوییچ	N1	اسم
2	یک	یک	یک	یک	No	عدد حرفی
3	از	از	از	از	Pr	حرف اضافه
